episode,reward,epsilon,Max Future Q-value,Action,State
278,-42,0.8513209504893237,-0.8581866599498991, , 
279,-7,0.8511506862992259,-1.5063343589076128, ,Non ideal heartRate
280,-317,0.850980456161966,-1.999947940027171,Daignose for ArterialpH level,Non ideal ArterialpH level
281,-37,0.8508102600707337,-1.9983155286479786,Daignose for SpO2 and FiO2,Non ideal SpO2 and FiO2
282,-308,0.8506400980187195,-2.8605605296262215, , 
283,-63,0.8504699699991158,-2.875887361404833,Daignose for ArterialpH level,Non ideal ArterialpH level
284,-200,0.850299876005116,-1.2053908032584146,Daignose for ArterialpH level,Non ideal ArterialpH level
285,24,0.850129816029915,-0.17552225021391532, , 
286,20,0.8499597900667091,-2.875887361404833,Daignose for ArterialpH level,Non ideal ArterialpH level
287,-200,0.8497897981086957,-1.1761634202410283, ,Non ideal SpO2 and FiO2
288,-335,0.849619840149074,-0.992222950164054, ,Non ideal ArterialpH level
289,-200,0.8494499161810442,-0.498050086606424,Daignose for ArterialpH level,Non ideal ArterialpH level
290,-356,0.849280026197808,-2.6614665071810704,Daignose for heartRate,Non ideal heartRate
291,-154,0.8491101701925684,-0.3392582381493874,Daignose for ArterialpH level,Non ideal ArterialpH level
292,13,0.8489403481585299,-0.8770620672609795,Daignose for ArterialpH level,Non ideal ArterialpH level
293,-357,0.8487705600888983,-0.14294131160116486,Daignose for SpO2 and FiO2,Non ideal SpO2 and FiO2
294,-200,0.8486008059768805,-0.762602496817453,Daignose for ArterialpH level, 
295,-5,0.8484310858156852,-0.30285238177245066,Daignose for ArterialpH level,Non ideal ArterialpH level
296,-344,0.8482613995985221,-0.6364754429291306,Daignose for ArterialpH level,Non ideal SpO2 and FiO2
297,-117,0.8480917473186024,-2.4271002374930206,Daignose for ArterialpH level, 
298,-405,0.8479221289691387,-0.9686646749433745, , 
299,-340,0.8477525445433448,-1.7073912646416227,Daignose for heartRate,Non ideal heartRate
300,24,0.8475829940344362,-0.4485039261073869, ,Non ideal heartRate
